docId,url
0,encs.concordia.ca/info-systems-eng/about.html
1,encs.concordia.ca/info-systems-eng/contact.html
2,encs.concordia.ca/info-systems-eng/facilities-services.html
3,encs.concordia.ca/info-systems-eng/news.html
4,encs.concordia.ca/info-systems-eng/programs.html
5,encs.concordia.ca/info-systems-eng/research.html
6,encs.concordia.ca/info-systems-eng/student-life.html
7,encs.concordia.ca/info-systems-eng/students.html
8,encs.concordia.ca/info-systems-eng\about/faculty.html
9,encs.concordia.ca/info-systems-eng\about/jobs.html
10,encs.concordia.ca/info-systems-eng\about/staff.html
11,encs.concordia.ca/info-systems-eng\news/notices.html.html
12,encs.concordia.ca/info-systems-eng\news/seminars.html
13,encs.concordia.ca/info-systems-eng\news/seminars.html.html
14,encs.concordia.ca/info-systems-eng\programs/3d-graphics-game-development-certificate.html
15,encs.concordia.ca/info-systems-eng\programs/co-op.html
16,encs.concordia.ca/info-systems-eng\programs/information-systems-engineering-phd.html
17,encs.concordia.ca/info-systems-eng\programs/information-systems-security-masc.html
18,encs.concordia.ca/info-systems-eng\programs/information-systems-security-meng.html
19,encs.concordia.ca/info-systems-eng\programs/quality-systems-engineering-masc.html
20,encs.concordia.ca/info-systems-eng\programs/quality-systems-engineering-meng.html
21,encs.concordia.ca/info-systems-eng\programs/service-engineering-network-management-certificate.html
22,encs.concordia.ca/info-systems-eng\research/funding.html
23,encs.concordia.ca/info-systems-eng\research/researchers.html
24,encs.concordia.ca/info-systems-eng\student-life/associations.html
