docId,url
0,encs.concordia.ca/mechanical-industrial/about.html
1,encs.concordia.ca/mechanical-industrial/contact.html
2,encs.concordia.ca/mechanical-industrial/facilities-services.html
3,encs.concordia.ca/mechanical-industrial/news.html
4,encs.concordia.ca/mechanical-industrial/news.html.html
5,encs.concordia.ca/mechanical-industrial/programs.html
6,encs.concordia.ca/mechanical-industrial/research.html
7,encs.concordia.ca/mechanical-industrial/student-life.html
8,encs.concordia.ca/mechanical-industrial/students.html
9,encs.concordia.ca/mechanical-industrial\about/jobs.html
10,encs.concordia.ca/mechanical-industrial\facilities-services/lab-safety.html
11,encs.concordia.ca/mechanical-industrial\facilities-services/research-labs.html
12,encs.concordia.ca/mechanical-industrial\facilities-services/teaching-labs.html
13,encs.concordia.ca/mechanical-industrial\news/notices.html
14,encs.concordia.ca/mechanical-industrial\news/notices.html.html
15,encs.concordia.ca/mechanical-industrial\programs/degree-accreditation.html
16,encs.concordia.ca/mechanical-industrial\programs/graduate.html
17,encs.concordia.ca/mechanical-industrial\programs/undergraduate.html
18,encs.concordia.ca/mechanical-industrial\student-life/student-association.html
19,encs.concordia.ca/mechanical-industrial\students/graduate.html
20,encs.concordia.ca/mechanical-industrial\students/undergraduate.html
